SampleID,PC1,PC2,PC3,PC4,PC5
TCGA-AR-A1AV,10.2748,2.3096,-0.52424,2.2431,1.6684
TCGA-AR-A1AW,0.42955,0.090864,-2.9992,5.3323,-6.9621
TCGA-AR-A1AX,-0.60958,-4.8041,-1.6123,-0.082955,-3.4337
TCGA-AR-A1AY,-14.6263,1.0248,4.4811,1.6155,1.9936
TCGA-B6-A0I2,-15.6002,6.3741,-1.9264,-2.5188,-5.4784
TCGA-B6-A0I5,0.92368,-4.9629,-1.4614,-7.2422,2.704
TCGA-B6-A0I6,-13.6765,2.0599,3.3447,1.6598,6.3439
TCGA-B6-A0I8,5.5562,1.995,-0.16785,-1.1793,2.4834
TCGA-B6-A0I9,-0.53333,3.7151,-1.6753,-1.3596,-0.4263
TCGA-B6-A0IA,6.8279,4.6323,0.34405,-10.5774,2.525
TCGA-B6-A0IB,6.883,3.889,-1.2611,-4.6,-0.024321
TCGA-B6-A0IC,10.8714,13.1601,4.1343,-4.5125,-1.5489
TCGA-B6-A0IE,1.0345,-1.0724,3.066,-5.5923,0.74033
TCGA-B6-A0IG,0.98444,-2.0073,-2.1575,-4.9733,-0.025537
TCGA-B6-A0IH,-0.14891,-7.0289,2.9137,-0.40149,-2.1623
TCGA-B6-A0IJ,-15.1339,4.0143,0.12479,-1.9171,-3.7114
TCGA-B6-A0IK,-2.777,-3.4682,-1.51,-5.7153,1.1114
TCGA-B6-A0IM,7.8696,4.4329,1.7197,8.0752,1.2134
TCGA-B6-A0IN,4.5683,-0.38717,-0.71654,1.2689,-2.1371
TCGA-B6-A0IO,3.6255,2.4758,2.5497,-3.3387,-0.79098
TCGA-B6-A0IP,2.2921,-3.124,3.3762,-3.2605,0.27788
TCGA-B6-A0IQ,-15.8648,5.1183,2.3861,-3.0203,0.67797
TCGA-B6-A0RE,-15.9533,0.57261,2.1736,-1.8419,3.4208
TCGA-B6-A0RG,2.8663,-0.04008,3.6694,-1.4432,3.9626
TCGA-B6-A0RH,-1.2308,-4.4218,-7.4368,-5.3539,2.5546
TCGA-B6-A0RI,4.4416,-3.565,0.70804,2.0239,5.127
TCGA-B6-A0RL,6.1708,17.3093,4.5072,-5.5945,-1.1697
TCGA-B6-A0RM,8.9505,6.3676,0.9879,0.72927,1.5281
TCGA-B6-A0RN,5.2819,-0.42673,-0.7716,3.2395,3.9865
TCGA-B6-A0RO,4.3661,-1.1362,1.8218,-8.4386,-1.3539
TCGA-B6-A0RP,9.2337,-1.0716,-2.2894,3.488,-0.27407
TCGA-B6-A0RQ,-1.8002,-7.3864,8.8893,-6.9561,-0.50931
TCGA-B6-A0RS,-5.3007,-3.2459,-6.7396,-3.3756,-0.35295
TCGA-B6-A0RT,-11.8009,-0.75506,0.72532,2.3195,-6.2829
TCGA-B6-A0RU,-10.0042,-3.3739,6.6807,-1.6479,0.070148
TCGA-B6-A0RV,2.959,-3.5651,3.4642,-3.6708,-2.6618
TCGA-B6-A0WS,4.3612,-2.7182,-1.7501,1.8392,-0.77069
TCGA-B6-A0WT,5.6561,-2.8793,2.9942,1.959,3.5298
TCGA-B6-A0WV,5.541,3.7474,5.0216,-0.95199,1.8109
TCGA-B6-A0WW,3.8353,2.2396,-1.1033,1.9332,1.309
TCGA-B6-A0WX,-10.7002,-5.6881,1.8789,0.87924,2.3387
TCGA-B6-A0WY,-1.8163,-6.2747,2.8788,-2.6053,1.1413
TCGA-B6-A0WZ,5.9832,-2.1387,-2.8004,-6.7246,3.0178
TCGA-B6-A0X0,1.9739,0.21454,2.5916,-7.568,1.7188
TCGA-B6-A0X1,-12.9493,8.1572,-0.61322,-0.7222,-5.09
TCGA-B6-A0X4,8.8051,7.009,6.049,-7.1193,1.0395
TCGA-B6-A0X5,6.8387,7.4258,-3.3023,-3.0779,1.9964
TCGA-B6-A0X7,2.9957,-4.8039,2.7303,0.67468,0.55793
TCGA-BH-A0AU,4.0737,-0.27137,1.2175,4.7903,-0.057095
TCGA-BH-A0AV,-13.2641,-1.0714,1.9952,7.3256,5.488
TCGA-BH-A0AW,-4.5713,-4.2471,-6.6567,-2.6743,-1.2942
TCGA-BH-A0AY,2.6855,-2.176,-5.1548,4.2829,-1.4664
TCGA-BH-A0AZ,1.8345,-10.2722,0.21279,0.74357,1.7623
TCGA-BH-A0B0,0.65425,-8.1797,-2.9159,0.45022,-2.6261
TCGA-BH-A0B1,1.5495,-3.9779,2.4828,0.28893,-0.055975
TCGA-BH-A0B3,-14.5939,-1.9257,-0.39715,1.866,1.0001
TCGA-BH-A0B4,1.3435,-1.8885,1.0193,2.6791,2.669
TCGA-BH-A0B5,2.2858,-4.3852,1.3183,1.9104,-0.66471
TCGA-BH-A0B7,-3.3377,-8.0477,-5.3646,-1.8371,-1.615
TCGA-BH-A0B8,4.7595,-0.12519,3.9373,0.31944,-0.078389
TCGA-BH-A0B9,-15.1313,3.9875,3.0278,-2.3948,-3.9114
TCGA-BH-A0BA,2.8089,-6.8211,2.3275,-3.8433,-3.5413
TCGA-BH-A0BC,1.9961,-3.5098,3.3774,1.1779,-2.1828
TCGA-BH-A0BD,0.50128,-5.286,0.32323,0.016845,-2.197
TCGA-BH-A0BF,-2.2123,-4.6705,-5.1539,5.3572,-1.0913
TCGA-BH-A0BG,-14.4755,0.37851,3.4134,2.8455,-2.8998
TCGA-BH-A0BJ,3.1808,-4.9028,4.4386,0.77808,-0.55952
TCGA-BH-A0BL,-12.1006,-6.7091,0.92476,4.6448,-0.64915
TCGA-BH-A0BM,1.1229,-10.7454,3.0061,-5.97,-1.8897
TCGA-BH-A0BO,0.80903,-10.1424,3.3455,-0.24657,-1.936
TCGA-BH-A0BP,1.1803,-9.0495,1.9778,-0.26636,-0.23792
TCGA-BH-A0BQ,-0.78285,-9.3907,0.70129,-1.1414,0.57013
TCGA-BH-A0BR,-0.43021,-7.1966,-5.5887,-0.15472,1.5702
TCGA-BH-A0BS,5.2728,1.0952,2.8586,-3.85,-2.1188
TCGA-BH-A0BT,0.10057,-2.7554,-2.0647,-3.2622,-0.035165
TCGA-BH-A0BV,6.9711,-0.55442,0.61564,0.87902,-1.476
TCGA-BH-A0BW,-12.886,2.9678,1.7182,4.4136,-3.8362
TCGA-BH-A0BZ,-1.0158,-0.11161,-4.5906,4.5679,0.42502
TCGA-BH-A0C0,-2.1684,-0.37991,-4.3513,-1.9132,-4.2796
TCGA-BH-A0C3,2.0869,-2.9797,0.78747,6.3562,-2.9118
TCGA-BH-A0DD,7.1855,5.9835,-0.5056,3.307,0.19922
TCGA-BH-A0DE,2.5406,-6.778,4.2864,1.2144,-1.5599
TCGA-BH-A0DG,1.469,-7.6158,-0.3041,0.43271,-0.59264
