SampleID,PC1,PC2,PC3,PC4,PC5
TCGA-AN-A0XS,3.7754,-4.3057,-0.0087944,4.3813,0.32103
TCGA-AN-A0XT,5.7606,2.0748,5.7608,-0.31826,-1.437
TCGA-AN-A0XU,-15.2061,3.299,2.399,0.49145,0.65287
TCGA-AN-A0XV,4.177,-4.5462,0.56052,0.68334,-1.0971
TCGA-AN-A0XW,1.48,-4.4946,-2.1422,2.3332,2.5627
TCGA-AO-A03L,2.3993,-2.9962,-0.031729,-0.93266,0.7707
TCGA-AO-A03O,0.54774,5.1768,-3.0356,0.23843,-5.7216
TCGA-AO-A03P,5.0417,9.2898,1.3849,2.4,1.4293
TCGA-AO-A03R,0.80408,-2.1896,4.8498,-5.4245,-4.4343
TCGA-AO-A03T,2.0527,-3.138,3.818,-6.6599,-2.319
TCGA-AO-A03V,3.1248,-0.72512,2.9829,-0.22993,-0.27262
TCGA-AO-A0J2,-5.6978,1.4289,-9.9154,-5.4222,-1.8414
TCGA-AO-A0J3,7.3347,13.4896,4.2573,-0.30067,-0.84696
TCGA-AO-A0J4,-15.9618,0.39103,3.5152,2.4809,1.4804
TCGA-AO-A0J6,-15.9419,4.7433,0.33123,-2.8551,-3.2119
TCGA-AO-A0J7,6.4143,5.1264,3.5892,-2.0246,2.2662
TCGA-AO-A0J8,5.1262,-2.4077,-3.6611,0.43854,-1.9318
TCGA-AO-A0J9,-0.33566,-6.065,1.2067,2.1162,-3.4485
TCGA-AO-A0JA,2.4825,-5.2018,-0.86105,0.79063,0.62238
TCGA-AO-A0JB,-3.3355,-5.4588,1.1328,-9.4913,-0.48604
TCGA-AO-A0JC,-3.8727,-0.11097,1.4577,2.0877,-8.7463
TCGA-AO-A0JD,-1.4485,0.98512,1.5313,-4.9134,-3.2342
TCGA-AO-A0JE,-2.5891,-7.574,-9.0617,-1.8168,1.0029
TCGA-AO-A0JF,3.8836,-8.6854,0.34718,2.2209,-1.3726
TCGA-AO-A0JG,2.6559,-1.6757,4.7862,1.3827,-2.8049
TCGA-AO-A0JI,8.3312,6.9376,7.1368,0.88443,-2.8591
TCGA-AO-A0JJ,2.4138,-7.7763,3.285,-1.3773,-3.9905
TCGA-AO-A0JL,-10.6057,1.477,3.8147,-3.8638,2.654
TCGA-AO-A0JM,5.3915,-0.82279,-5.5262,1.4664,2.3769
TCGA-AO-A124,-16.7806,4.4269,4.0711,-4.1227,1.3256
TCGA-AO-A125,8.8417,8.8016,1.4,-11.2184,-1.4267
TCGA-AO-A126,5.6575,0.43218,-3.1621,2.4198,3.104
TCGA-AO-A128,-10.8433,5.9873,-4.6861,3.2118,-9.8867
TCGA-AO-A129,-14.5946,0.094184,0.81449,-0.63383,-0.82462
TCGA-AO-A12A,1.3752,-8.4798,4.8132,-2.0299,-1.4105
TCGA-AO-A12B,9.2511,9.4514,1.6322,-2.5554,-3.0901
TCGA-AO-A12C,3.9667,-3.5949,3.5944,2.5602,4.9448
TCGA-AO-A12D,-5.0195,-5.3413,-10.0156,-2.6158,0.57585
TCGA-AO-A12E,2.9428,-6.9751,4.4004,-3.7992,-4.0531
TCGA-AO-A12F,-12.3937,0.69427,4.5851,1.8096,3.0921
TCGA-AO-A12G,3.0345,-3.4001,-0.13965,-2.8942,2.2543
TCGA-AO-A12H,9.9737,10.0372,2.1464,1.3373,-0.16803
TCGA-AQ-A04J,-13.3475,-4.4777,3.0725,-0.77809,-1.393
TCGA-AR-A0TP,-13.2927,5.4706,6.8462,-0.21419,7.3769
TCGA-AR-A0TQ,3.1106,3.0114,-0.67148,3.2637,-2.4816
TCGA-AR-A0TR,11.4149,12.9313,4.4645,-4.2019,-5.9462
TCGA-AR-A0TS,-13.9207,0.0020945,4.3222,4.8892,-1.5471
TCGA-AR-A0TT,0.12358,2.665,-5.3649,8.1385,-3.9656
TCGA-AR-A0TU,-15.8164,11.6762,1.0798,0.75341,-5.164
TCGA-AR-A0TV,5.4822,12.4257,-0.65364,4.7725,-4.2679
TCGA-AR-A0TW,3.4348,8.9276,-3.5119,3.3474,-1.3776
TCGA-AR-A0TX,-0.47293,-1.949,-7.2569,1.8909,-3.4296
TCGA-AR-A0TY,1.7645,7.3761,1.1253,0.50176,1.4034
TCGA-AR-A0TZ,6.6998,5.5555,2.8618,4.9799,2.2456
TCGA-AR-A0U0,-14.6264,5.2958,-2.7411,-0.14616,-2.7192
TCGA-AR-A0U2,4.2749,9.4844,-0.60756,3.142,-1.3418
TCGA-AR-A0U3,4.8767,2.2027,0.83912,-2.0212,-1.7622
TCGA-AR-A0U4,-12.3489,3.1258,-1.2303,4.6623,-5.1797
TCGA-AR-A1AH,-12.301,6.2215,1.1897,-0.20069,3.1773
TCGA-AR-A1AI,-15.2018,6.6545,0.12059,0.70447,-4.0012
TCGA-AR-A1AJ,-13.2693,-0.93206,-0.867,5.7076,-7.1462
TCGA-AR-A1AK,1.8242,-5.4567,3.5929,-0.58183,-4.5143
TCGA-AR-A1AL,1.2262,-8.0841,5.2316,-0.55558,-1.0285
TCGA-AR-A1AN,5.5299,-3.5734,-2.5967,2.7718,-0.78322
TCGA-AR-A1AO,-7.6295,-8.9359,-2.3116,-0.038997,-3.9394
TCGA-AR-A1AP,0.584,-3.6726,-1.0828,0.24966,-0.50332
TCGA-AR-A1AQ,-15.1385,1.909,-1.5452,0.78599,-1.9548
TCGA-AR-A1AR,-11.5053,2.3317,0.33103,8.5318,-4.6897
TCGA-AR-A1AS,2.6906,0.062112,-4.0867,-5.7513,6.4132
TCGA-AR-A1AT,-1.5779,-1.1245,-9.518,-2.5579,-2.5885
TCGA-AR-A1AU,0.91062,-5.7719,5.8109,0.63425,0.2921
