1 2 3 4
TCGA-AN-A0FW 35.0375 128.7223 77.5392 80.9643
TCGA-AN-A0FX 199.9535 0.8135 106.1412 0.4511
TCGA-AN-A0FY 82.8962 75.6341 151.6883 3.2067
TCGA-AN-A0FZ 13.9199 118.8426 125.7651 61.4098
TCGA-AN-A0G0 183.8954 17.0381 69.4317 0
TCGA-AN-A0XL 21.1235 49.1933 181.5298 96.3932
TCGA-AN-A0XN 87.5779 0 485.5757 39.5794
TCGA-AN-A0XO 58.2388 41.9704 155.4009 140.6747
TCGA-AN-A0XP 2.0538 32.9777 115.338 200.5158
TCGA-AN-A0XR 28.9557 53.9017 75.5467 130.9718
TCGA-AN-A0XS 29.0266 56.5929 199.7864 69.9713
TCGA-AN-A0XT 22.564 98.8368 33.8999 91.3304
TCGA-AN-A0XU 205.0768 5.8673 32.8146 0
TCGA-AN-A0XV 26.2001 79.9665 127.9829 83.3392
TCGA-AN-A0XW 91.6091 18.3534 286.0655 47.9378
TCGA-AO-A03L 68.9174 59.1125 145.9486 69.4319
TCGA-AO-A03O 81.8787 115.7561 24.6357 10.1761
TCGA-AO-A03P 56.3652 126.2171 34.8459 68.9355
TCGA-AO-A03R 99.2943 48.6047 10.5245 133.4144
TCGA-AO-A03T 75.8359 50.215 22.2902 156.856
TCGA-AO-A03V 30.6377 49.8282 89.5433 136.8555
TCGA-AO-A0J2 152.2413 0 36.7805 109.8391
TCGA-AO-A0J3 12.632 162.1412 6.0839 3.5544
TCGA-AO-A0J4 217.9739 0 80.7712 0
TCGA-AO-A0J6 215.2532 3.721 12.3857 1.2227
TCGA-AO-A0J7 9.7427 85.3106 54.6597 162.0687
TCGA-AO-A0J8 22.4205 0 138.4964 222.2278
TCGA-AO-A0J9 117.29 0 138.6262 157.0429
TCGA-AO-A0JA 32.3372 51.4968 253.8936 72.9183
TCGA-AO-A0JB 133.8359 0 12.6676 253.7269
TCGA-AO-A0JC 142.7758 0 19.9802 55.4507
TCGA-AO-A0JD 111.2412 77.7572 11.5445 51.213
TCGA-AO-A0JE 99.5529 0.0107 282.8531 106.3167
TCGA-AO-A0JF 20.0004 8.8878 276.6188 148.0932
TCGA-AO-A0JG 22.8515 118.2793 107.9942 25.7614
TCGA-AO-A0JI 5e-04 195.2133 14.6713 0.5625
TCGA-AO-A0JJ 49.185 10.7746 147.7013 148.8657
TCGA-AO-A0JL 230.7234 0.2589 31.8725 28.4997
TCGA-AO-A0JM 60.2398 39.1456 238.0752 85.0963
TCGA-AO-A124 235.7142 0.0033 6.4949 5.5593
TCGA-AO-A125 8.706 7.5404 2.8175 253.7324
TCGA-AO-A126 44.9149 0.2808 217.8135 200.6672
TCGA-AO-A128 193.4787 0 30.5358 24.0876
TCGA-AO-A129 226.5124 0 39.2211 3.5523
TCGA-AO-A12A 55.2698 8.9909 119.844 142.519
TCGA-AO-A12B 3.3527 47.3851 7.3384 255.5739
TCGA-AO-A12C 27.4416 27.5635 306.2176 147.9075
TCGA-AO-A12D 114.5728 0 172.0778 137.7277
TCGA-AO-A12E 34.3876 86.1069 64.8098 93.8026
TCGA-AO-A12F 211.6618 0.4101 78.833 1.1029
TCGA-AO-A12G 52.8221 38.9605 110.3928 164.3928
TCGA-AO-A12H 0 215.9349 19.7372 24.0544
TCGA-AQ-A04J 194.2707 0.0029 79.9796 7.7216
TCGA-AR-A0TP 235.9621 0.0037 36.3824 3.0205
TCGA-AR-A0TQ 43.3353 160.8498 81.2278 0
TCGA-AR-A0TR 0 157.0262 2.2909 46.4952
TCGA-AR-A0TS 167.3521 6.3447 87.9966 0
TCGA-AR-A0TT 104.6515 39.9958 133.7841 8.997
TCGA-AR-A0TU 204.9189 0.0241 0 1.423
TCGA-AR-A0TV 62.192 136.7966 14.7456 0.6869
TCGA-AR-A0TW 53.6231 120.1829 50.0722 22.05
TCGA-AR-A0TX 108.2525 46.3278 151.6369 26.4333
TCGA-AR-A0TY 84.3129 137.6923 32.6628 0
TCGA-AR-A0TZ 1.0406 147.942 105.2778 2.1511
TCGA-AR-A0U0 197.6338 0.0271 23.8189 5.3406
TCGA-AR-A0U2 34.5123 117.1798 41.4363 0.7291
TCGA-AR-A0U3 22.1584 123.3832 32.9681 46.9244
TCGA-AR-A0U4 202.1902 0 61.2195 6.2279
TCGA-AR-A1AH 186.523 0 32.6179 1.4006
TCGA-AR-A1AI 201.1858 4.1062 17.9251 0
TCGA-AR-A1AJ 171.295 0.0102 94.6993 2.0966
TCGA-AR-A1AK 54.3201 69.3164 78.1875 63.5369
TCGA-AR-A1AL 41.6933 18.7575 168.1425 98.1072
TCGA-AR-A1AN 39.9118 0.0833 236.2395 180.4149
TCGA-AR-A1AO 147.7524 8e-04 251.5688 17.8079
TCGA-AR-A1AP 72.8165 43.318 130.1982 98.8655
TCGA-AR-A1AQ 203.1556 7e-04 48.5202 5.018
TCGA-AR-A1AR 174.0002 0 114.1558 2.1305
TCGA-AR-A1AS 59.2089 0 113.2563 186.0827
TCGA-AR-A1AT 122.9609 0 161.7282 129.1943
TCGA-AR-A1AU 53.2793 89.0796 157.0104 52.8632
TCGA-AR-A1AV 0.2114 116.97 138.4901 64.0605
TCGA-AR-A1AW 114.3153 31.1837 86.5431 18.1215
TCGA-AR-A1AX 73.3799 35.9239 123.5166 84.0812
TCGA-AR-A1AY 182.3973 3.1589 73.3531 0
