ID,1,2,3,4,5,6
TCGA-AR-A1AN,19.1296,0.033,215.7952,154.4261,31.5337,94.5106
TCGA-AR-A1AO,150.4294,0.0002,233.3264,4.7066,44.7207,57.1846
TCGA-AR-A1AP,48.5951,0.0184,107.8946,120.0224,99.0963,50.4901
TCGA-AR-A1AQ,218.4105,0.0009,42.5598,2.0592,0,85.5022
TCGA-AR-A1AR,217.2061,0,93.9895,5.2945,0,38.6667
TCGA-AR-A1AS,16.6171,0,96.1396,142.7034,84.03,90.5967
TCGA-AR-A1AT,34.5042,0,119.7703,67.6131,210.4429,74.8373
TCGA-AR-A1AU,53.0722,110.8305,143.4379,54.9374,3.7878,55.5898
TCGA-AR-A1AV,4.4749,105.5621,119.1608,120.8907,24.9635,0
TCGA-AR-A1AW,140.313,3.0043,66.1308,47.3919,35.2035,20.2405
TCGA-AR-A1AX,64.7977,0.1536,97.8204,102.4939,89.9215,28.7123
TCGA-AR-A1AY,257.2973,1.9984,53.3922,0,5.3878,0
TCGA-B6-A0I2,212.2465,0,0,4.0875,0,201.7411
TCGA-B6-A0I5,6.0054,0.021,65.4704,104.3701,24.0337,373.041
TCGA-B6-A0I6,185.3971,0.0092,115.7277,0,0.0011,87.3156
TCGA-B6-A0I8,0.5225,85.7971,98.3771,65.6162,130.4928,4.7631
TCGA-B6-A0I9,9.0316,58.8377,29.4441,23.0195,215.29,49.8834
TCGA-B6-A0IA,0,0.0149,7.4377,271.9836,25.3918,200.8744
TCGA-B6-A0IB,0,4.2755,26.8992,177.5168,70.4127,92.9463
TCGA-B6-A0IC,1.9688,75.1915,1.5195,164.6129,0.0047,14.368
TCGA-B6-A0IE,5.6115,66.6088,38.6572,35.8007,56.312,243.4709
TCGA-B6-A0IG,0.1005,0.0218,74.5148,50.7341,215.8759,130.1739
TCGA-B6-A0IH,67.409,0.7887,176.629,105.744,0,57.3792
TCGA-B6-A0IJ,244.977,0.002,6.0962,6.1754,0,103.1487
TCGA-B6-A0IK,87.6217,11.1279,45.7973,12.0326,154.3949,91.09
TCGA-B6-A0IM,3.1753,136.1354,140.7887,95.6201,0,21.9826
TCGA-B6-A0IN,0.5154,114.1315,88.5294,0,103.0088,161.5792
TCGA-B6-A0IO,22.1291,25.8719,27.7801,189.8708,31.3998,93.6162
TCGA-B6-A0IP,24.2,7.8873,56.3762,177.5146,11.3076,83.4594
TCGA-B6-A0IQ,176.6391,0.0005,8.5976,0,0,193.9652
TCGA-B6-A0RE,235.2749,0.0054,54.3004,0,3.3115,74.4251
TCGA-B6-A0RG,8.0824,195.47,102.1757,8.8118,40.3801,54.9438
TCGA-B6-A0RH,4.0241,0,138.441,42.994,225.0126,187.9801
TCGA-B6-A0RI,28.887,25.1813,228.8173,126.399,35.97,41.3583
TCGA-B6-A0RL,0.0007,195.8476,0,8.7653,13.9095,48.4057
TCGA-B6-A0RM,0.5424,142.0006,38.0239,73.5906,0,63.7515
TCGA-B6-A0RN,1.9299,0,242.5734,126.3506,0.0001,136.4755
TCGA-B6-A0RO,8.7774,3.868,18.6464,234.4187,97.6932,20.3012
TCGA-B6-A0RP,0.1665,75.7965,186.0204,149.8824,0,22.0151
TCGA-B6-A0RQ,104.8142,0.2738,17.6142,128.404,0,97.325
TCGA-B6-A0RS,103.5914,0.002,58.8469,31.8001,118.2206,126.2487
TCGA-B6-A0RT,189.0566,0.0134,43.9385,4.8082,0,58.937
TCGA-B6-A0RU,198.4657,1.0737,52.509,7.2715,0,105.3492
TCGA-B6-A0RV,38.4168,16.1205,31.0388,168.8227,9.3218,94.2816
TCGA-B6-A0WS,25.6045,52.9131,139.1879,101.2576,52.0142,19.3031
TCGA-B6-A0WT,25.9844,85.4084,194.5461,75.1856,11.2957,0
TCGA-B6-A0WV,20.4863,127.2198,48.5978,43.8316,37.4643,20.7516
TCGA-B6-A0WW,16.2711,125.1711,107.3531,48.7754,69.5217,2.4726
TCGA-B6-A0WX,152.4851,0,229.5237,1.5661,0,114.1368
TCGA-B6-A0WY,99.6518,13.996,96.5573,67.2215,37.6002,88.7248
TCGA-B6-A0WZ,0,0,63.5823,149.6528,96.7293,115.7566
TCGA-B6-A0X0,15.0776,0.0027,18.5656,161.0809,6.0639,186.0048
TCGA-B6-A0X1,230.553,0.0006,3.4589,8.8682,37.9005,0
TCGA-B6-A0X4,0.0124,253.7872,7.4119,55.2114,0,25.3734
TCGA-B6-A0X5,18.0865,31.3939,26.5083,94.4129,80.9467,38.5192
TCGA-B6-A0X7,17.183,26.2417,194.6235,95.534,1.8021,113.509
TCGA-BH-A0AU,12.0404,117.1966,189.0647,48.7614,59.5748,0
TCGA-BH-A0AV,217.5699,0,296.9785,0,0,37.0381
TCGA-BH-A0AW,21.5285,0.0283,96.4094,0,219.5031,169.9851
TCGA-BH-A0AY,28.3413,1.4849,209.1153,58.4521,91.2534,113.4799
TCGA-BH-A0AZ,7.5449,0.0748,465.3128,90.3717,57.5007,77.5202
TCGA-BH-A0B0,36.6623,0,297.9553,75.0024,77.9438,92.9102
TCGA-BH-A0B1,54.2741,129.4538,105.9968,132.633,0,0
TCGA-BH-A0B3,258.8518,0,115.8523,0,33.1008,28.949
TCGA-BH-A0B4,9.6649,77.1303,185.8334,4.3625,63.1314,123.966
TCGA-BH-A0B5,57.7082,0.1821,151.3982,108.8814,25.6298,38.2937
TCGA-BH-A0B7,78.284,0,139.6857,27.1895,168.1728,33.3297
TCGA-BH-A0B8,6.9725,115.4922,65.2591,98.1012,0,102.2401
TCGA-BH-A0B9,187.8757,0.0032,0,0.0782,0,230.9223
TCGA-BH-A0BA,22.1034,0.3529,62.8354,118.6982,103.4663,17.7918
TCGA-BH-A0BC,71.9971,12.6422,122.0177,122.635,0,103.4587
TCGA-BH-A0BD,92.7245,0.012,108.2377,152.3885,44.1744,39.1677
TCGA-BH-A0BF,70.4816,0,340.367,13.432,74.7114,59.1575
TCGA-BH-A0BG,257.335,0,33.4261,2.4985,0,69.8714
TCGA-BH-A0BJ,42.4518,15.6998,151.2355,144.1839,0,72.3635
TCGA-BH-A0BL,208.5489,0,205.8683,2.4767,3.9197,0
TCGA-BH-A0BM,20.1225,0.3957,89.7154,169.4801,13.3714,157.8816
TCGA-BH-A0BO,68.1997,0.202,156.4996,154.9609,28.7356,14.5356
TCGA-BH-A0BP,50.9354,23.335,181.3727,87.2383,39.8147,55.7853
TCGA-BH-A0BQ,45.0762,1.3815,220.0366,110.5263,11.6075,138.9269
TCGA-BH-A0BR,58.4853,0.0041,262.5508,58.9003,118.9798,39.7882
TCGA-BH-A0BS,36.5895,1.8139,18.4459,262.5549,23.8106,14.0633
TCGA-BH-A0BT,17.0487,0.0006,75.0373,96.6077,113.3443,115.781
TCGA-BH-A0BV,16.2045,42.6536,143.6546,151.7177,62.9445,0
TCGA-BH-A0BW,216.1243,0,39.715,4.1537,31.5315,0
TCGA-BH-A0BZ,29.233,25.81,171.929,0,180.43,67.4285
