ID,1,2,3,4,5,6,7,8
TCGA-AN-A0FL,130.7885,0.0003,2.8792,0,5.0772,134.6396,103.164,125.5868
TCGA-AN-A0FN,35.7821,0.064,456.6636,72.314,0,79.2272,29.4171,48.1827
TCGA-AN-A0FS,33.9349,0.0579,154.3848,167.7422,17.6548,67.8924,13.0639,0.7119
TCGA-AN-A0FT,0.4424,0.0443,98.016,0,69.4216,176.1978,300.5679,15.5385
TCGA-AN-A0FV,90.5703,0.0598,173.8491,0,39.2171,0,357.5907,0
TCGA-AN-A0FW,25.9312,121.1285,71.0185,62.4855,121.387,126.6689,10.7365,0
TCGA-AN-A0FX,202.8674,0.0691,94.9277,2.2279,0,68.4696,0.08,21.4942
TCGA-AN-A0FY,67.2884,0.0275,142.4254,9.8167,112.2992,75.4319,0.293,0
TCGA-AN-A0FZ,22.434,0.0752,112.9974,14.4695,156.7186,53.3817,131.8217,0
TCGA-AN-A0G0,215.0026,0,53.224,10.4775,15.8562,5.9506,0.064,51.4397
TCGA-AN-A0XL,40.9399,0.0013,149.7008,127.2654,59.5301,20.1627,13.0395,4.4694
TCGA-AN-A0XN,93.8962,0,474.3622,33.4646,10.1172,53.6355,13.6199,21.9791
TCGA-AN-A0XO,61.9094,0.0685,136.3176,114.1178,61.829,94.1063,43.5326,0
TCGA-AN-A0XP,6.7301,1.8851,87.9907,171.3651,17.7268,0,199.1972,77.175
TCGA-AN-A0XR,7.0082,0.003,62.6159,121.4889,72.5194,45.997,27.7382,103.2886
TCGA-AN-A0XS,20.7808,0.0006,179.4915,73.4085,89.92,56.0854,2.4022,19.9762
TCGA-AN-A0XT,22.7311,0.5998,24.5961,126.7057,86.4938,87.2905,7.5257,0
TCGA-AN-A0XU,196.5362,0,22.7499,0,22.5726,11.8326,0.0092,109.3926
TCGA-AN-A0XV,43.2695,86.4915,109.2502,106.316,45.5513,35.8861,34.7135,22.1391
TCGA-AN-A0XW,56.2977,0.1304,261.3465,20.5898,67.7398,58.957,27.2986,79.7762
TCGA-AO-A03L,34.9772,0.3674,133.9485,27.9462,112.5802,98.5653,55.481,18.6173
TCGA-AO-A03O,46.4761,0.0008,18.8298,23.9822,164.3107,55.0068,0.1507,76.744
TCGA-AO-A03P,8.0231,3.2557,35.2559,22.3568,190.1455,181.6843,0,0
