1 2 3 4 5 6 7
TCGA-AN-A046 7.31 0.2302 127.9087 195.3536 35.8454 166.0793 30.0034
TCGA-AN-A049 27.5593 0.0936 143.5398 98.457 108.2457 46.0427 35.5524
TCGA-AN-A04A 24.3886 44.4072 278.7943 11.327 108.7832 143.0504 8.8628
TCGA-AN-A04C 36.3991 0 17.5276 0 23.9385 229.2403 245.7922
TCGA-AN-A04D 172.6525 7e-04 0 0.408 30.5833 82.561 3.889
TCGA-AN-A0AJ 78.2048 0.0081 64.3732 3.9032 124.1412 118.5541 0
TCGA-AN-A0AK 33.3652 0.1978 19.3114 0 154.408 104.2182 30.005
TCGA-AN-A0AL 225.5662 0.1518 145.0094 26.45 0 25.8297 0
TCGA-AN-A0AM 86.8101 2.0524 114.281 1e-04 79.3479 92.6208 182.2239
TCGA-AN-A0AR 153.6355 0.0503 9.0722 1.7035 0 233.466 0
TCGA-AN-A0AS 48.1528 0.0034 296.6149 41.025 52.7948 159.6181 13.2388
TCGA-AN-A0AT 212.7282 6e-04 19.558 0 7.1408 112.0744 0.0026
TCGA-AN-A0FD 8.897 43.811 226.4575 68.8464 75.7765 171.2617 0
TCGA-AN-A0FF 23.0161 91.984 97.0573 91.9829 95.9078 25.3588 1.3567
TCGA-AN-A0FJ 211.6046 2e-04 40.0295 1.1833 8.3435 76.8799 0
TCGA-AN-A0FK 3.3069 0.0758 56.0193 254.9786 35.6131 36.4148 91.2619
TCGA-AN-A0FL 177.5901 4e-04 3.7583 0.2953 3.6619 124.4458 121.103
TCGA-AN-A0FN 36.985 0.0697 462.1228 69.4553 0 79.3717 34.8485
TCGA-AN-A0FS 14.454 0.0565 153.8921 164.1853 29.433 72.4997 9.4585
TCGA-AN-A0FT 0 0.046 97.5335 0 45.7892 157.0621 295.4254
TCGA-AN-A0FV 14.0928 0.052 180.9178 0 44.6877 20.1869 377.1365
TCGA-AN-A0FW 0.2611 120.7257 73.1312 48.4825 133.7984 128.9987 11.6474
TCGA-AN-A0FX 208.3856 0.0664 94.2596 0.5748 4.4671 81.3958 0.0941
TCGA-AN-A0FY 25.0488 0.0267 145.3086 1.9201 132.3254 91.0915 0.483
TCGA-AN-A0FZ 0 0.0743 114.3095 5.1818 147.6367 49.16 142.0277
TCGA-AN-A0G0 221.1991 0 54.791 2.2185 28.3473 25.2693 10.4274
TCGA-AN-A0XL 23.8961 0.0012 148.0451 127.6037 62.5439 26.0908 12.3224
TCGA-AN-A0XN 65.9082 0 479.0498 15.298 34.4199 70.2909 17.1349
TCGA-AN-A0XO 28.283 0.0672 138.7702 105.9329 77.8789 102.9097 44.7969
TCGA-AN-A0XP 1.373 1.8809 91.2343 177.8598 4.5227 0 233.1096
TCGA-AN-A0XR 16.9843 0.0031 64.6649 125.575 64.2255 34.7055 89.9394
TCGA-AN-A0XS 11.2313 5e-04 182.5382 65.3839 92.9043 60.1374 2.5373
TCGA-AN-A0XT 1.8868 0.593 24.8529 117.3392 98.4014 91.6041 5.3778
TCGA-AN-A0XU 244.6587 0 23.2659 0 24.0431 20.1351 0.0164
TCGA-AN-A0XV 32.4187 85.5194 110.3733 106.1249 51.2696 36.9566 36.3097
TCGA-AN-A0XW 70.0635 0.1415 268.5802 16.1559 65.2559 59.2855 40.0733
TCGA-AO-A03L 13.4332 0.3683 137.0685 19.2816 112.4993 99.4794 76.7381
TCGA-AO-A03O 61.8054 8e-04 19.5035 22.8475 164.295 53.7223 0.0027
TCGA-AO-A03P 0 3.3194 34.307 10.1259 183.8816 177.0146 0
TCGA-AO-A03R 24.4091 0.904 10.8093 48.4185 97.729 230.3379 5.3272
TCGA-AO-A03T 14.1137 17.6392 24.3252 11.6087 94.6188 178.3911 150.3059
TCGA-AO-A03V 19.3829 0.0725 73.0134 143.0452 69.3309 66.9674 8.7595
TCGA-AO-A0J2 83.3143 3e-04 35.5003 0 10.2087 56.171 360.629
TCGA-AO-A0J3 0 2.6442 3.0147 0.6067 194.9641 74.3007 0.1211
TCGA-AO-A0J4 266.1177 0 62.6752 0 4.5544 37.0408 0.0127
