ID,1,2,3,4,5
TCGA-AO-A12H,0.0755,252.4489,21.5835,33.5604,0
TCGA-AQ-A04J,211.8419,0.0131,79.6791,7.0928,19.1952
TCGA-AR-A0TP,266.4159,6.4611,36.1981,2.4845,0
TCGA-AR-A0TQ,2.1714,131.2255,64.5468,0,159.2465
TCGA-AR-A0TR,0.4419,177.3237,2.2114,61.9737,0.4552
TCGA-AR-A0TS,149.316,3.3786,81.0033,0,69.2278
TCGA-AR-A0TT,63.8345,24.0471,120.4852,22.2003,104.3198
TCGA-AR-A0TU,219.0753,0.3074,0,0,23.2856
TCGA-AR-A0TV,46.0043,137.6524,12.3887,16.612,54.0331
TCGA-AR-A0TW,4.872,61.0702,37.4239,62.3572,152.84
TCGA-AR-A0TX,29.0535,0.0568,114.8379,48.8965,202.8705
TCGA-AR-A0TY,91.7536,168.494,33.4619,0,3.5418
TCGA-AR-A0TZ,0.1095,166.8576,101.5543,9.2418,14.0461
TCGA-AR-A0U0,135.4921,0,17.3938,0,131.2038
TCGA-AR-A0U2,2.2146,92.7328,33.1479,0,121.6249
TCGA-AR-A0U3,6.7457,106.9852,27.3768,72.8401,58.6837
TCGA-AR-A0U4,168.1863,0,54.1116,3.2973,94.1106
TCGA-AR-A1AH,199.4969,2.5727,32.0428,0.1796,19.186
TCGA-AR-A1AI,156.2795,0,11.7366,0,109.4001
TCGA-AR-A1AJ,123.2667,0.0013,85.0907,0.1438,107.5171
TCGA-AR-A1AK,30.929,44.2078,68.6431,82.4987,84.8398
TCGA-AR-A1AL,50.226,18.7837,160.2597,101.3219,13.8416
TCGA-AR-A1AN,51.7139,0.0558,223.6834,171.534,27.1258
TCGA-AR-A1AO,114.858,0.0001,242.2366,8.4813,96.919
TCGA-AR-A1AP,29.948,0.1248,110.9205,133.6255,122.8633
TCGA-AR-A1AQ,195.7526,0.0006,46.1213,1.0834,57.4483
TCGA-AR-A1AR,170.2768,0,111.0491,1.3731,45.5776
TCGA-AR-A1AS,38.7046,0,96.8064,175.0404,74.3279
TCGA-AR-A1AT,38.1973,0,115.4969,116.5672,188.1579
TCGA-AR-A1AU,65.2906,113.8891,152.9171,40.2273,9.9896
TCGA-AR-A1AV,0,113.2327,126.8728,79.3716,35.0224
TCGA-AR-A1AW,61.9013,3.579,74.4498,41.5073,121.7748
TCGA-AR-A1AX,31.2014,0.6027,103.9912,106.828,121.9086
TCGA-AR-A1AY,156.3683,0.7418,65.0054,0,81.3597
TCGA-B6-A0I2,297.4985,0,0,18.0513,0
TCGA-B6-A0I5,167.5702,0.0089,57.548,210.7905,0
TCGA-B6-A0I6,207.7563,0.5697,127.5891,0.0104,0.1582
TCGA-B6-A0I8,0.0142,96.3028,101.6612,61.0511,96.286
TCGA-B6-A0I9,22.0285,59.618,27.0761,52.9086,178.0472
TCGA-B6-A0IA,25.9691,0.0111,5.0683,374.3836,24.2865
TCGA-B6-A0IB,21.0525,8.471,25.6908,217.6011,51.6872
TCGA-B6-A0IC,0.0002,116.8867,0.3678,99.2356,7.9867
TCGA-B6-A0IE,146.5818,58.2563,35.347,95.2624,4.4956
TCGA-B6-A0IG,38.1408,0.0117,70.2808,147.9448,148.4003
TCGA-B6-A0IH,78.7478,5.7873,192.9858,102.2475,0.1271
TCGA-B6-A0IJ,235.5079,0.0018,7.5783,7.3456,48.1914
TCGA-B6-A0IK,114.6185,14.3197,45.2961,35.8231,133.1782
TCGA-B6-A0IM,5.6374,145.2444,149.5013,68.6359,0
TCGA-B6-A0IN,85.2763,95.0664,79.3007,79.6171,44.3024
TCGA-B6-A0IO,37.2017,38.7861,26.9906,197.4217,39.9413
TCGA-B6-A0IP,40.9345,20.1011,59.2244,180.5535,17.899
TCGA-B6-A0IQ,271.934,0.0063,11.9366,1.2597,0
TCGA-B6-A0RE,223.229,0.0768,60.4872,0,31.4673
TCGA-B6-A0RG,29.8668,192.23,105.1298,9.8366,24.7223
TCGA-B6-A0RH,102.1985,0,129.1306,122.9729,148.7577
TCGA-B6-A0RI,24.7451,42.1855,240.2876,109.4309,44.1575
TCGA-B6-A0RL,18.8318,186.041,0,9.2376,11.3077
TCGA-B6-A0RM,23.5129,144.7322,39.4097,66.3768,0
TCGA-B6-A0RN,58.1954,0,245.4654,152.9039,0
TCGA-B6-A0RO,2.4158,39.0845,16.9366,208.7906,77.7586
TCGA-B6-A0RP,0.1893,78.098,195.5936,134.6328,4.5986
TCGA-B6-A0RQ,133.6254,4.5415,21.6979,133.4728,0
TCGA-B6-A0RS,143.4429,0.0014,58.2998,78.1663,88.5648
TCGA-B6-A0RT,143.6357,0.013,49.9819,1.951,71.2206
TCGA-B6-A0RU,223.3682,9.0203,59.8042,5.7543,2.8789
TCGA-B6-A0RV,59.9775,38.4194,33.2864,160.704,14.5403
TCGA-B6-A0WS,6.9489,60.9481,145.7022,88.7545,67.6776
TCGA-B6-A0WT,7.7586,94.4337,208.0125,44.066,25.8987
TCGA-B6-A0WV,18.6441,131.9695,51.527,24.7868,41.1855
TCGA-B6-A0WW,2.9056,116.4903,110.0117,42.3303,75.6733
TCGA-B6-A0WX,194.1178,0,239.0422,6.9569,0
TCGA-B6-A0WY,109.8743,20.6039,101.9127,71.2215,52.7016
TCGA-B6-A0WZ,13.6807,0,63.2348,222.9528,75.4639
TCGA-B6-A0X0,90.0908,0.0029,16.6321,205.3898,0
TCGA-B6-A0X1,113.4403,0.0001,1.0029,3.3009,149.9946
TCGA-B6-A0X4,0.9891,235.1723,8.265,57.2787,0
TCGA-B6-A0X5,16.7616,44.8869,26.642,94.8336,74.6351
TCGA-B6-A0X7,67.7404,25.8534,199.5795,108.2441,0
TCGA-BH-A0AU,1.5317,120.2635,197.2293,22.0458,66.4483
TCGA-BH-A0AV,191.8945,0.0048,326.7922,0,5.2692
TCGA-BH-A0AW,127.0491,0.0221,84.2296,39.8072,165.3984
TCGA-BH-A0AY,84.4911,1.3234,207.5747,94.5896,56.6705
TCGA-BH-A0AZ,37.7366,0.0727,472.6029,130.7547,21.5365
TCGA-BH-A0B0,60.8782,0,298.7407,105.9054,70.7308
TCGA-BH-A0B1,17.5638,151.3952,116.6079,82.1708,28.827
TCGA-BH-A0B3,175.4531,0,124.6538,0,108.275
TCGA-BH-A0B4,88.3524,74.6712,181.2381,25.6568,27.7171
TCGA-BH-A0B5,41.7628,15.9973,163.7658,90.9231,49.0293
TCGA-BH-A0B7,57.1989,0,142.8495,42.0604,175.1646
TCGA-BH-A0B8,41.377,113.9909,66.7468,112.2719,0
TCGA-BH-A0B9,303.4903,0.0035,0,4.9935,0
TCGA-BH-A0BA,11.521,2.4547,67.3597,123.3915,100.5252
TCGA-BH-A0BC,85.1607,17.7356,126.8592,125.8471,31.3099
TCGA-BH-A0BD,43.739,0.0213,116.3701,148.9323,107.6628
TCGA-BH-A0BF,74.3682,0,345.6707,23.184,85.169
TCGA-BH-A0BG,240.7738,0,41.2904,5.05,22.2204
TCGA-BH-A0BJ,55.0004,36.1933,162.7539,125.8578,9.2128
TCGA-BH-A0BL,131.3596,0,229.6651,0,52.9434
TCGA-BH-A0BM,76.3039,0.4052,91.048,217.6479,0
TCGA-BH-A0BO,43.8603,0.7809,180.4343,141.0844,47.0331
TCGA-BH-A0BP,57.804,34.0707,192.2531,81.9232,39.9678
TCGA-BH-A0BQ,101.0609,1.4904,223.8156,141.4733,0.0002
TCGA-BH-A0BR,47.7266,0.005,269.1894,79.6287,114.7692
TCGA-BH-A0BS,3.7334,58.8777,21.1634,190.6629,51.4272
TCGA-BH-A0BT,53.7005,0,72.4965,149.6963,85.2969
TCGA-BH-A0BV,0.0786,60.9335,148.925,111.5788,75.7307
TCGA-BH-A0BW,70.5796,0,52.3065,0,174.404
TCGA-BH-A0BZ,66.7569,38.5118,167.528,0,149.8863
TCGA-BH-A0C0,70.5733,10.5032,24.0247,64.2443,142.3427
TCGA-BH-A0C3,22.9828,60.0578,220.7245,46.0287,69.9209
TCGA-BH-A0DD,5.3516,83.7256,60.5788,69.3752,93.0914
TCGA-BH-A0DE,36.5857,64.7141,133.6298,81.2634,25.646
TCGA-BH-A0DG,50.2208,29.5368,266.4954,57.1526,68.5652
TCGA-BH-A0DH,1.439,0.121,44.5488,240.2492,74.9276
TCGA-BH-A0DI,76.7398,0.2888,430.7078,73.3892,27.8344
TCGA-BH-A0DK,84.0738,91.3378,155.9978,34.7808,35.0927
TCGA-BH-A0DL,162.2226,0,18.6726,0,145.2782
TCGA-BH-A0DP,70.177,0.5241,188.6885,164.7979,0
TCGA-BH-A0DQ,38.5492,60.406,272.1759,53.7666,38.4963
TCGA-BH-A0DS,69.8963,5.7227,130.4722,160.5153,40.1261
TCGA-BH-A0DT,64.6207,22.1837,133.85,141.0944,0.0012
TCGA-BH-A0DX,36.5969,0,281.5528,92.636,96.0089
TCGA-BH-A0DZ,94.8524,2.8363,243.1883,81.2906,86.038
TCGA-BH-A0E0,277.8913,3.5655,5.5409,1.9978,22.717
TCGA-BH-A0E1,9.8113,2.3843,77.3696,256.4163,58.2224
TCGA-BH-A0E2,109.561,111.961,133.7806,19.0838,0
TCGA-BH-A0E6,292.9559,0.044,27.0186,11.7947,3.585
TCGA-BH-A0E7,0.0001,124.888,85.0376,82.691,15.8756
TCGA-BH-A0EA,68.9804,16.8568,155.0885,112.5054,0.4605
TCGA-BH-A0EB,18.5447,0.5147,155.8907,199.6496,54.0541
TCGA-BH-A0EE,89.0442,0.0164,0,52.7446,207.2379
TCGA-BH-A0EI,30.1519,105.9452,293.5234,34.9441,0
TCGA-BH-A0GY,74.5611,70.46,102.5546,5.5972,102.6548
TCGA-BH-A0GZ,52.8958,67.1729,150.0502,94.6658,27.5692
TCGA-BH-A0H0,16.7615,131.9473,7.2811,53.9643,34.942
TCGA-BH-A0H3,55.4778,30.7828,207.1362,90.9449,14.3132
TCGA-BH-A0H5,83.7638,0.2745,60.9039,103.5486,73.2532
TCGA-BH-A0H6,27.2964,103.0491,214.996,41.3798,8.7671
TCGA-BH-A0H7,35.6264,75.1788,367.3924,33.9064,71.6793
TCGA-BH-A0H9,38.8022,72.2443,63.7638,79.4003,74.8245
TCGA-BH-A0HA,62.3871,148.5876,238.2951,17.0866,0
TCGA-BH-A0HB,106.5965,116.0353,60.5112,15.3332,42.022
TCGA-BH-A0HF,80.7652,3.5295,195.2584,158.7733,19.2403
TCGA-BH-A0HI,4.3464,38.8574,112.0185,208.1474,25.5409
TCGA-BH-A0HK,114.7009,0.0954,82.0861,182.6764,0
TCGA-BH-A0HL,3.9184,195.8098,31.8476,0.2016,0.0137
TCGA-BH-A0HN,1.3092,0,10.8718,275.9297,20.1587
TCGA-BH-A0HO,5.2172,213.477,51.3019,98.4864,0
TCGA-BH-A0HP,78.6227,0.0329,108.8974,185.713,0
